145.47,719.73,218.1,660.87
1204.7,720.0,1148.23,660.87
1369.92,685.75,1285.79,629.6
1440.0,607.24,1329.56,551.44
1440.0,130.35,1335.81,149.69
1369.52,36.47,1300.0,100.0
1300.0,0.0,1224.83,72.42
835.61,0.0,894.98,71.61
764.14,69.42,852.54,113.5
740.7,167.85,877.47,163.36
791.09,248.7,924.05,182.51
1044.18,274.47,1200.0,200.0
1107.45,316.66,1260.78,293.51
1107.45,370.56,1245.15,410.75
1073.47,404.54,1163.86,481.09
900.0,400.0,968.45,485.78
855.53,432.66,938.55,492.42
840.3,477.18,936.06,532.31
828.58,540.45,940.31,584.27
705.55,541.63,823.07,631.17
646.97,574.43,649.37,632.02
513.39,574.43,393.85,639.5
427.86,546.31,236.8,624.54
334.12,546.31,200.0,600.0
300.0,500.0,145.17,531.08
348.18,477.18,256.74,455.03
679.78,478.35,458.67,423.86
700.87,446.72,570.85,417.63
698.52,273.3,600.0,400.0
664.54,235.81,544.67,341.6
451.29,235.81,457.42,342.85
396.22,281.51,410.06,370.27
313.03,306.11,275.94,379.48
243.9,279.16,135.24,352.91
228.66,213.55,125.86,205.96
359.9,180.74,225.91,135.62
474.72,174.88,444.77,116.86
586.04,154.96,496.35,85.59
623.53,75.28,502.29,64.89
576.0,0.0,438.51,54.33
200.0,0.0,170.74,84.83
73.41,34.27,100.0,100.0
0.0,117.46,86.78,162.19
0.18,647.08,86.78,587.39
72.83,683.4,132.12,647.3
